城市,最低气温
西安,9°C
咸阳,7°C
延安,4°C
榆林,3°C
渭南,9°C
商洛,6°C
安康,11°C
汉中,12°C
宝鸡,8°C
铜川,6°C
杨凌,7°C
兰州,7°C
定西,4°C
平凉,5°C
庆阳,5°C
武威,4°C
金昌,3°C
张掖,6°C
酒泉,5°C
天水,5°C
陇南,9°C
临夏,5°C
甘南,0°C
白银,5°C
嘉峪关,3°C
乌鲁木齐,20°C
克拉玛依,20°C
石河子,16°C
昌吉,16°C
吐鲁番,21°C
巴音郭楞,12°C
阿拉尔,14°C
阿克苏,15°C
喀什,17°C
伊犁,14°C
塔城,14°C
哈密,11°C
和田,16°C
阿勒泰,12°C
克州,13°C
博尔塔拉,16°C
图木舒克,16°C
五家渠,20°C
铁门关,12°C
北屯,12°C
双河,12°C
可克达拉,15°C
西宁,1°C
海东,4°C
黄南,4°C
海南,2°C
果洛,0°C
玉树,1°C
海西,2°C
海北,-1°C
银川,5°C
石嘴山,4°C
吴忠,7°C
固原,3°C
中卫,6°C
