楼盘名称,开发商名称,是否售空,销售单价,楼盘性质
东部之星,杭州东部大学科技园建设有限公司,在售,107万/套,商业类
万融城,浙江万融置业有限公司,在售,156万/套,写字楼
天骄香槟郡,浙江天骄置业有限公司,在售,336-480万/套,别墅
绿城云栖桃花源,杭州绿城银湖置业有限公司,在售,1200-1500万/套,别墅
华夏之心,杭州宝力康华置业有限公司,在售,150-180万/套,商业类
万科公望,杭州富阳万科房地产开发有限公司,在售,1100-1500万/套,别墅
奥克斯时代未来之城,杭州奥克斯置业有限公司,在售,575万/套,写字楼
祥生云湖城,杭州祥生弘达房地产开发有限公司,在售,243-280万/套,住宅
山水时代,杭州龙都置业有限公司,在售,280-380万/套,商业类
励骏花园,杭州励骏置业有限公司,在售,399万/套,住宅
春江山居,杭州爱丽娜房地产开发有限公司,在售,72-119万/套,住宅
禹洲滨澜铭座,中维地产浙江有限公司,在售,98-162万/套,商业类
金马高悦府,桐庐桐鑫房地产开发有限公司,在售,175万/套,住宅
易辰江南大院,杭州易辰房地产开发有限公司,待售,186万/套,住宅
富力御江山小区,杭州冠富房地产开发有限公司,在售,108万/套,住宅
汇高栢悦中心,杭州汇高置地有限公司,在售,193万/套,写字楼
云安小镇,杭州青山湖森林硅谷开发有限公司,在售,87-320万/套,商业类
嘉裕天城,杭州远邦房地产开发有限公司,在售,173-270万/套,住宅
地铁万科杭行道,杭州商庭房地产开发有限公司,在售,110万/套,商业类
世茂西溪宸悦,杭州禾睿房地产开发有限公司,在售,300万/套,商业
绿城青亭商铺,杭州望云房地产开发有限公司,待售,价格待定,商业
云都汇中心,杭州名宸置业有限公司,在售,98-120万/套,商业类
铂瑞悦府,杭州龙合实业有限公司,在售,143-200万/套,商业类
傲旋城,杭州恒兴置业有限公司,在售,398-400万/套,住宅
融创森与海之城,杭州融阳政房地产开发有限公司,在售,135-169万/套,住宅
启迪协信科技城,杭州启迪协信建塘科技发展有限公司,在售,120-260万/套,商业类
五幸银座,杭州西江置业有限公司,在售,113万/套,商业类
海威天地,杭州融威置业有限公司,在售,210万/套,商业类
云上金铭府,杭州景扬置业有限公司,在售,195-275万/套,住宅
奥体朝龙汇,杭州国逸实业有限公司,在售,1500万/套,写字楼
华夏之心,未知开发商,在售,300万/套,写字楼
美的西径晓风,杭州美煜房地产发展有限公司,在售,162.692-202.424万/套,住宅
美的西径晓风,杭州美煜房地产发展有限公司,在售,310-470万/套,别墅
之江潮,杭州骏功置业有限公司,在售,158-331万/套,商业类
中骏临栖云府,杭州嘉怡置业有限公司,在售,190-220万/套,住宅
新湖金色池塘,杭州新湖鸬鸟置业有限公司,在售,194万/套,住宅
新湖金色池塘,杭州新湖鸬鸟置业有限公司,在售,260万/套,别墅
国开东方锦城学府,杭州轩湖房地产开发有限公司,在售,182-263万/套,住宅
绿都鉴未来,杭州睿都置业有限公司,在售,250万/套,底商
水岸华府,杭州融旺房地产开发有限公司,在售,129-151万/套,住宅
富阳宸光悦,杭州祥生弘腾房地产开发有限公司,在售,250万/套,住宅
景顺铂悦城,杭州望景置业有限公司,在售,98-182万/套,商业类
锦和云水江南,杭州精文文广投资有限公司,在售,280-380万/套,别墅
东亚溪雅香舍,杭州嘉缘房地产开发有限公司,在售,75-139万/套,住宅
千岛湖绿城桂语江南,杭州汤姆房地产开发有限公司,在售,137-185万/套,住宅
融信美好宝龙锦云澜天里,杭州美生美置业有限公司,在售,170-175万/套,住宅
凤凰府邸,杭州越城房地产开发有限公司,在售,481-483万/套,别墅
碧桂园万科悦望名邸,杭州富耀置业有限公司,在售,486-660万/套,别墅
镜象西湖,杭州世腾置业有限公司,在售,130-370万/套,商业类
赞成星谷,杭州润庆置业有限公司,在售,160万/套,底商
傲旋城,杭州恒兴置业有限公司,在售,316万/套,商业类
融创融耀之城,杭州昌茂置业有限公司,待售,213-252万/套,住宅
江滨公望大厦,杭州公望置业有限公司,在售,132万/套,商业类
柳岸晓风新都,尚雅置业（杭州）有限公司,在售,175-220万/套,住宅
柳岸晓风新都,尚雅置业（杭州）有限公司,在售,266-315万/套,别墅
玲珑郡,杭州君元数字科技有限公司,在售,53.697-65.036万/套,商业类
华策中心,浙江影视产业国际合作实验区西溪实业有限公司,在售,402万/套,写字楼
柳溪湾,杭州临安佳伟房地产开发有限公司,在售,40-118万/套,住宅
朗诗溪涧雅庐,杭州临安朗茂置业有限公司,在售,120-168万/套,住宅
春江山居,杭州爱丽娜房地产开发有限公司,在售,450万/套,别墅
运河万科中心,杭州祥瑞汽车产业园开发有限公司,在售,140万/套,写字楼
滨虹商务中心,杭州新天地集团有限公司,在售,55万/套,商业
中城汇MIDTOWN,杭州万璟置业有限公司,在售,122-140万/套,商业类
紫荆辰光,杭州成禾房地产开发有限公司,在售,187-310万/套,商业类
绿地亚洲公园,杭州绿地锦城房地产开发有限公司,待售,270-426万/套,别墅
融创港印中心,杭州圆汇投资置业有限公司,在售,150万/套,底商
绿城青亭,杭州望云房地产开发有限公司,在售,130-135万/套,商业类
星光荟,杭州汇和置业有限公司,在售,140万/套,商业
中冶锦绣公馆,杭州中冶名锦房地产开发有限公司,待售,价格待定,住宅
中冶锦绣公馆,杭州中冶名锦房地产开发有限公司,在售,650-1700万/套,商业类
恒大御泉四季,杭州盛建置业有限公司,在售,40-88万/套,住宅
紫荆辰光, 杭州成禾房地产开发有限公司,在售,181万/套,商业
悦湖湾花园,杭州千岛湖浙远房地产开发有限公司,在售,160-180万/套,住宅
北辰奥园,杭州北辰置业有限公司,在售,240万/套,底商
竹悦山水轩,临安云海置业有限公司,在售,70-106万/套,住宅
钱塘ONE,杭州汇辉置业有限公司,在售,140万/套,底商
泰禾野风大城小院,富阳野风乐多房地产开发有限公司,在售,850万/套,别墅
星云,浙江信维信息科技有限公司,在售,95-135万/套,商业类
永和之星,浙江永和房地产开发有限公司,在售,72-126万/套,商业类
临平新时代,浙江杭报金都创意产业发展有限公司,在售,78-155万/套,商业类
运河印,浙江万融置业有限公司,在售,115-320万/套,商业类
绿地商业中心,绿地控股集团杭州东城房地产开发有限公司,在售,140-420万/套,商业类
招商越秀公园1872,招商局地产（杭州）有限公司,在售,200万/套,商业
东方世贸城,杭州温商机电实业有限公司,在售,89万/套,商业
宋都时间名座,杭州加悦都实业有限公司,在售,2800万/套,商业
白鹭郡西,杭州林庐房地产开发有限公司 ,在售,3500万/套,别墅
万通中心,杭州万通时尚置业有限公司,在售,350万/套,商业
盈都吾角商业中心,杭州盈坤置业有限公司,在售,96-130万/套,商业类
世包国际中心,亚洲包装中心有限公司,在售,1161万/套,写字楼
天骄香槟郡,浙江天骄置业有限公司,在售,86-113万/套,住宅
飘鹰富春江花苑,桐庐飘鹰置业有限公司,在售,132-187万/套,住宅
云水山居,杭州金宇房地产开发有限公司,在售,530-745万/套,别墅
山南印,杭州泰悦置业有限公司,在售,1026万/套,写字楼
奥体万科中心,浙江华运信德房地产开发有限公司,在售,1200万/套,写字楼
富力湖滨悦居,广州富力地产股份有限公司,在售,87万/套,住宅
招商I-Park,未知开发商,在售,198万/套,底商
千岛湖滨江城市之星,淳安千岛湖森垄房地产开发有限公司,在售,160-210万/套,住宅
佳源驭远玖墅,杭州国申房地产开发有限公司,在售,565-898万/套,别墅
越秀星汇中心,杭州越秀房地产开发有限公司,在售,144万/套,写字楼
海威天地,杭州融威置业有限公司,在售,350万/套,底商
佳源岛,淳安汇和房地产开发有限公司,在售,80-130万/套,住宅
星创城映月璟园,浙江星望置业有限公司,待售,290-390万/套,住宅
浅山,淳安怡和置业有限公司,在售,351-358万/套,别墅
杭房首望澜翠府,杭州翠祥房地产有限公司,在售,210-250万/套,住宅
百郦玲珑府,甘建投（杭州）房地产有限公司,在售,365-520万/套,住宅
阳光城檀瑞府,杭州富阳乘光置业有限公司,在售,211-255万/套,住宅
中顺新澜悦,杭州宏晟置业有限公司,在售,100-140万/套,写字楼
弘涵望江月,杭州弘涵房地产开发有限公司,在售,82-103万/套,住宅
七彩星商业中心,嘉凯城城镇化建设发展（余杭星桥）有限公司,在售,200万/套,商业
浅隐云庐,杭州耕织园农业开发有限公司,在售,220-530万/套,别墅
银城青山湖畔,银城地产集团股份有限公司,在售,168-304万/套,住宅
申花印月,中锦联城控股有限公司,在售,100-339万/套,商业类
海悦中心,杭州海悦地产有限公司,在售,91-98万/套,商业类
保利融信和光尘樾,杭州保欣置业有限公司,在售,126万/套,商业类
荣安观江园,绍兴香州置业有限公司,在售,185-330万/套,住宅
金科旭辉上河之城,绍兴金翎置业有限公司,在售,210-270万/套,住宅
