岗位标题,地区,薪资,公司名称
python服务端开发工程师,广州·天河区·岗顶,12-18K,游爱
Python开发工程师,广州·海珠区·工业大道,13-20K·13薪,游爱
Python开发工程师,广州·天河区·车陂,12-20K·13薪,游爱
高级Python开发工程师,广州·番禺区·大学城,18-30K·14薪,游爱
Python开发工程师(网易）,广州·天河区·高唐,9-13K·13薪,游爱
Python开发,广州·番禺区·市桥,14-28K,游爱
自动化运维工程师（python+英文流利）,广州·天河区·天河北,20-25K,游爱
python开发工程师,广州·天河区·小新塘,8-15K·13薪,游爱
高级Python后端开发工程师,广州·黄埔区·科学城,15-25K·14薪,游爱
python工程师/讲师,广州·天河区·东圃,11-16K,游爱
python开发工程师,广州·荔湾区·西关,7-12K,游爱
Python开发实习生,广州·海珠区·琶洲,120-200元/天,游爱
python开发工程师,广州·天河区·员村,15-30K,游爱
python开发工程师,广州·天河区·龙口,12-18K·13薪,游爱
Python研发工程师,广州·天河区·珠江新城,12-20K·14薪,游爱
Python客户端开发,广州·天河区·棠下,12-18K·13薪,游爱
python高级开发工程师,广州·海珠区·江南大道,15-30K,游爱
高级Python开发工程师,广州·番禺区·大学城,20-35K·14薪,游爱
Python开发工程师（13薪/双休/餐补）,广州·天河区·珠江新城,7-12K·13薪,游爱
程序员（python）,广州·天河区·五山,7-12K,游爱
python开发（外资银行+英语流利+不内卷）,广州·天河区·跑马场,18-25K,游爱
Python开发工程师,广州·白云区·同德,20-40K·14薪,游爱
Python服务端开发,广州·天河区·棠下,12-20K·13薪,游爱
高级/资深Python开发工程师（带团队）,广州·番禺区·大学城,25-40K·14薪,游爱
python开发（双休+13薪+视频面+接受21届）,广州·天河区·小新塘,10-15K·13薪,游爱
编程主管（python、C++ ）,广州·越秀区·东风东,6-7K,游爱
前端开发工程师（react+后端Java/Python）,广州·天河区·棠下,12-18K,游爱
python后端开发+双休+13薪+餐补+视频面试,广州·天河区·高唐,12-15K·13薪,游爱
Python编程老师,广州·白云区·白云大道,8-10K,游爱
python开发工程师 13薪双休餐补+六险一金,广州·黄埔区·小新塘,8-13K·13薪,游爱
