job_name,position,diploma,company_name,company_size,company_type,salary
中石油规划总院天然气产业链优化业务顾问,北京,硕士,中国石油规划总院,100-299人,国企,2万-4万
财务分析主管（北京）,北京,本科,中外运—敦豪国际航空快件有限公司,1000-9999人,合资,1.5万-2.1万
数据分析师,北京,本科,中科遥感(西安)科技有限公司,20-99人,股份制企业,1.6万-2.2万
咨询顾问/8500-11000,北京,本科,丽兹行,1000-9999人,民营,1万-1.4万
数据分析员,北京,大专,北京质云数据科技有限公司,20-99人,股份制企业,8千-1万
财务经理/财务BP（国企）,北京,本科,北京星驰恒动科技发展有限公司,100-299人,国企,1.6万-2万
数据分析助理,北京,大专,京北方,10000人以上,民营,5千-6千
医生运营,北京,学历不限,尊医重卫(北京)中医学研究院有限公司,20人以下,股份制企业,8千-1.2万
销售代表/底薪8500-11000+服务提成3-30%,北京,本科,丽兹行,1000-9999人,民营,9千-1.3万
数据分析助理(社保＋晋升＋双休),北京,本科,北京肽小美科技有限公司,,,5千-1万
数据分析工程师,北京,本科,长城网际,100-299人,国企,1万-1.8万
项目运营,北京,本科,学信网,100-299人,其它,6千-8千
运营管培生-北京,北京,本科,云和恩墨,500-999人,民营,7千-1万
助理数据架构师,北京,硕士,国网信通产业集团,1000-9999人,国企,面议
市场营销岗,北京,本科,华侨城集团有限公司,10000人以上,国企,面议
国际云网监控工程师,北京,学历不限,中国联通,10000人以上,国企,面议
产品经理-北京,北京,本科,中国移动在线营销,1000-9999人,国企,面议
管培生（人力资源管理）,北京,本科,嘉楠科技,500-999人,民营,面议
数据治理工程师,北京,硕士,国网信通产业集团,1000-9999人,国企,面议
大数据开发工程师,北京,硕士,中移动金融科技,500-999人,国企,面议
政策与经济研究岗,北京,硕士,中国联通,10000人以上,国企,面议
劳动用工管理,北京,本科,中国移动在线营销,1000-9999人,国企,面议
数据分析专员,北京,本科,晶澳科技,1000-9999人,其它,面议
北斗/遥感算法工程师,北京,硕士,国网信通产业集团,1000-9999人,国企,面议
网络数据分析工程师,北京,硕士,北京移动,10000人以上,国企,面议
大数据运营岗,北京,硕士,中国联通,10000人以上,国企,面议
薪酬管理与激励设计,北京,本科,中国移动在线营销,1000-9999人,国企,面议
数据分析专员,北京,本科,晶澳科技,1000-9999人,其它,面议
数据分析工程师（算法开发）,北京,硕士,国网信通产业集团,1000-9999人,国企,面议
网络数据分析工程师,北京,本科,北京移动,10000人以上,国企,面议
大数据及算法研究岗,北京,硕士,中国联通,10000人以上,国企,面议
J18944-2023校招-实验工程师（电气传动方向）（研发）,北京,硕士,金风科技,10000人以上,民营,面议
合同管理专员,北京,本科,晶澳科技,1000-9999人,其它,面议
数据分析工程师,北京,博士,国网信通产业集团,1000-9999人,国企,面议
区域产品专员-麻醉事业部,北京,硕士,恒瑞医药,10000人以上,民营,面议
网络与信息安全工程师,北京,学历不限,中国联通,10000人以上,国企,1.2万-1.5万
J18857-2023校招-电机设计工程师（研发）,北京,硕士,金风科技,10000人以上,民营,面议
项目管理岗,北京,硕士,中移动金融科技,500-999人,国企,面议
商务专责（招投标方向）,北京,硕士,国网信通产业集团,1000-9999人,国企,面议
产品专员-麻醉事业部,北京,硕士,恒瑞医药,10000人以上,民营,面议
产品经理,北京,本科,中国联通,10000人以上,国企,面议
多媒体研发工程师,北京,硕士,中国移动杭州研发中心,1000-9999人,国企,面议
试验检测人员,北京,本科,中国铁建,10000人以上,国企,面议
