序号,开课学期,课程编号,课程名称,开课单位,学分,总学时,考核方式,课程性质,课程属性,是否考试
68,2021-2022-1,X053155,路由交换技术,信息工程系,2,32,考试,专业选修课,限选,是
69,2021-2022-2,B0240016,形势与政策VI,思想政治部,0,2,考试,人文社科课,必修,是
70,2021-2022-2,B052016,习近平新时代中国特色社会主义思想概论,思想政治部,2,32,考试,人文社科课,必修,是
71,2021-2022-2,B053063,数据库系统原理,信息工程系,4,64,考试,专业必修课,必修,是
72,2021-2022-2,B053067,嵌入式系统原理与应用,信息工程系,3,48,考试,专业必修课,必修,是
73,2021-2022-2,S053048,生产实习,信息工程系,3,48,考试,实践教学课,必修,是
74,2021-2022-2,X053004,软件测试,信息工程系,2,32,考试,专业选修课,限选,是
75,2021-2022-2,X053010,项目管理,信息工程系,2,32,考试,专业选修课,限选,是
76,2021-2022-2,X053022,射频识别技术,信息工程系,2,32,考试,专业选修课,限选,是
77,2021-2022-2,X053057,路由交换技术实验,信息工程系,2,32,考试,专业选修课,限选,是
78,2021-2022-2,X053059,网络安全与管理,信息工程系,2,32,考试,专业选修课,限选,是
79,2021-2022-2,X053064,计算机体系结构,信息工程系,2,32,考试,专业选修课,限选,是
80,2021-2022-2,X053065,实用操作系统,信息工程系,2,32,考试,专业选修课,限选,是
81,2021-2022-2,X053066,高级网络技术,信息工程系,2,32,考试,专业选修课,限选,是
82,2021-2022-2,X053080,物联网原理与应用,信息工程系,2,32,考试,专业选修课,限选,是
83,2021-2022-2,X053081,系统分析与设计,信息工程系,2,32,考试,专业选修课,限选,是
84,2021-2022-2,X053119,Hadoop分布式系统框架,信息工程系,2,32,考试,专业选修课,限选,是
85,2021-2022-2,X053127,大数据开发高级技术,信息工程系,2,32,考试,专业选修课,限选,是
86,2021-2022-2,X053128,大数据开发综合项目,信息工程系,2,32,考试,专业选修课,限选,是
87,2021-2022-2,X053129,分布式数据库与数据仓库,信息工程系,2,32,考试,专业选修课,限选,是
88,2021-2022-2,X053133,人工智能前沿技术,信息工程系,2,32,考试,专业选修课,限选,是
89,2021-2022-2,X053134,人工智能综合项目,信息工程系,2,32,考试,专业选修课,限选,是
90,2021-2022-2,X053150,传感器与检测技术,信息工程系,2,32,考试,专业选修课,限选,是
91,2021-2022-2,X053151,高级路由交换技术,信息工程系,2,32,考试,专业选修课,限选,是
92,2021-2022-2,X053156,实用数据结构与算法,信息工程系,2,32,考试,专业选修课,限选,是
93,2021-2022-2,X053157,网络综合技术应用,信息工程系,2,32,考试,专业选修课,限选,是
94,2021-2022-2,X053158,网站设计与开发,信息工程系,2,32,考试,专业选修课,限选,是
95,2021-2022-2,X053159,物联网系统设计,信息工程系,2,32,考试,专业选修课,限选,是
96,2021-2022-2,X053167,机器学习系统与平台,信息工程系,2,32,考试,专业选修课,限选,是
97,2022-2023-1,B0240017,形势与政策,思想政治部,0,2,考试,人文社科课,必修,是
98,2022-2023-1,B0280012,大学生职业发展与就业指导II,公共教学部,1,16,考试,人文社科课,必修,是
99,2022-2023-1,X053068,工程项目实践,信息工程系,8,128,考试,专业选修课,限选,是
100,2022-2023-2,C053001,创新创业学术报告,信息工程系,0.5,8,考查,创新创业课,必修,是
101,2022-2023-2,S053008,毕业设计(论文),信息工程系,16,256,答辩,实践教学课,必修,是
