rank,title,detail_url,img_url,rating_num,comment_num,quote
34,素媛,https://movie.douban.com/subject/21937452/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,9.3,604075人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
35,飞屋环游记,https://movie.douban.com/subject/2129039/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2363116942.jpg,9.1,1187825人评价,最后那些最无聊的事情，才是最值得怀念的。 
36,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,9.0,1411397人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
37,何以为家,https://movie.douban.com/subject/30170448/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,9.1,921853人评价,凝视卑弱生命，用电影改变命运。
38,我不是药神,https://movie.douban.com/subject/26752088/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,9.0,1884004人评价,对我们国家而言，这样的电影多一部是一部。
39,十二怒汉,https://movie.douban.com/subject/1293182/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,9.4,422062人评价,1957年的理想主义。 
40,哈尔的移动城堡,https://movie.douban.com/subject/1308807/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,9.1,896514人评价,带着心爱的人在天空飞翔。
41,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,9.1,1225039人评价,瑰丽壮观、无人能及的冒险之旅。
42,鬼子来了,https://movie.douban.com/subject/1291858/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,9.3,552655人评价,对敌人的仁慈，就是对自己残忍。
43,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,9.0,1098264人评价,旷古烁今。
44,天空之城,https://movie.douban.com/subject/1291583/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,9.1,738912人评价,对天空的追逐，永不停止。 
45,猫鼠游戏,https://movie.douban.com/subject/1305487/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,9.1,854312人评价,骗子大师和执著警探的你追我跑故事。 
46,天堂电影院,https://movie.douban.com/subject/1291828/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,9.2,616928人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
47,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg,9.2,666993人评价,承前启后的史诗篇章。
48,闻香识女人,https://movie.douban.com/subject/1298624/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,9.1,774304人评价,史上最美的探戈。
