电影名,评分
Spider-Man 3（2007）,6.2
朱诺（2007）,7.4
血钻（2006）,8
哈利波特与凤凰社（2007）,7.5
爱乐之城（2016）,8
特洛伊（2004）,7.2
X战警：背水一战（2006）,6.7
Source Code（2011）,7.5
The Hobbit: The Battle of the Five Armies（2014）,7.4
雨人（1988）,8
环太平洋（2013）,6.9
Get Out（2017）,7.7
杰克·瑞奇：永不退缩（2016）,6.1
美国心理（2000）,7.6
X-Men Origins: Wolverine（2009）,6.6
了不起的盖茨比（2013）,7.2
回到未来2（1989）,7.8
哈利·波特与死亡圣器(上) （2010）,7.7
死侍2：我爱我家（2018）,7.7
Ex Machina（2015）,7.7
人类之子（2006）,7.9
热血警探（2007）,7.8
小鬼当家（1990）,7.6
哈利·波特与混血王子（2009）,7.6
美国骗局（2013）,7.2
Nightcrawler（2014）,7.9
蝴蝶效应（2004）,7.6
史密斯夫妇（2005）,6.5
好莱坞往事（2019）,7.7
奇爱博士（1964）,8.4
黑客帝国3：矩阵革命（2003）,6.8
剪刀手爱德华（1990）,7.9
全民超人（2008）,6.4
超体（2014）,6.4
夺宝奇兵2（1984）,7.6
银翼杀手2049（2017）,8
阳光小美女（2006）,7.8
American Sniper（2014）,7.3
当幸福来敲门（2006）,8
冰川时代（2002）,7.5
谍影重重2（2004）,7.7
无敌浩克（2008）,6.7
达拉斯买家俱乐部（2013）,8
Rear Window（1954）,8.4
第五元素（1997）,7.7
十二宫（2007）,7.7
极速风流（2013）,8.1
分歧者：异类觉醒（2014）,6.7
疯狂动物城（2016）,8
熔炉（2011）,8.1
