序号,开课学期,课程编号,课程名称,分组名,成绩,成绩标识,学分,总学时,绩点,补重学期,考核方式,考试性质,课程属性,课程性质,课程类别
1,2019-2020-1,B0280011,大学生职业发展与就业指导I,,86,,1,16,,,考试,正常考试,必修,人文社科课,
2,2019-2020-1,B0410071,基础外语AI,,62,,4,64,,,考试,正常考试,必修,人文社科课,
3,2019-2020-1,B0430011,体育I,141男篮1,83,,2,32,,,考试,正常考试,必修,人文社科课,
4,2019-2020-1,B0510061,高等数学AI,,81,,6,96,,,考试,正常考试,必修,数学自然课,
5,2019-2020-1,B052001,思想道德修养与法律基础,,75,,3,48,,,考试,正常考试,必修,人文社科课,
6,2019-2020-1,B052006,军事理论,,80,,2,32,,,考试,正常考试,必修,人文社科课,
7,2019-2020-1,B053013,大学计算机基础A,,70,,3,48,,,考试,正常考试,必修,数学自然课,
8,2019-2020-1,B053028,计算机导论,,60,,1,16,,2019-2020-1,考试,补考一,必修,专业必修课,
9,2019-2020-1,B053028,计算机导论,,53,,1,16,,,考试,正常考试,必修,专业必修课,
10,2019-2020-1,B053095,程序设计基础I,,80,,2,32,,,考试,正常考试,必修,学科基础课,
