序号,开课学期,课程编号,课程名称,分组名,成绩,成绩标识,学分,总学时,绩点,补重学期,考核方式,考试性质,课程属性,课程性质,课程类别
1,2021-2022-1,B052009,马克思主义基本原理概论,,69,,3,48,,,考试,正常考试,必修,人文社科课,
2,2021-2022-1,B052017,中国共产党简史,,88,,1,16,,,考试,正常考试,必修,人文社科课,
3,2021-2022-1,B053012,操作系统,,82,,3,48,,,考试,正常考试,必修,学科基础课,
4,2021-2022-1,B053035,软件工程,,74,,3,48,,,考试,正常考试,必修,专业必修课,
5,2021-2022-1,B053097,JavaWeb应用技术,,80,,3.5,56,,,考试,正常考试,必修,专业必修课,
6,2021-2022-1,C053003,应用型人才培养课程,,87,,1,16,,,考查,正常考试,必修,创新创业课,
7,2021-2022-1,S053041,Web项目设计与开发,,87,,2,32,,,考试,正常考试,必修,实践教学课,
8,2021-2022-1,X053051,XML基础,,83,,2,32,,,考试,正常考试,限选,专业选修课,
9,2021-2022-1,X053061,高级程序设计,,85,,2,32,,,考试,正常考试,限选,专业选修课,
10,2021-2022-1,X053101,Linux操作系统,,80,,2,32,,,考试,正常考试,限选,专业选修课,
11,2021-2022-1,X053105,人工智能基础,,83,,2,32,,,考试,正常考试,限选,专业选修课,
