序号,开课学期,课程编号,课程名称,分组名,成绩,成绩标识,学分,总学时,绩点,补重学期,考核方式,考试性质,课程属性,课程性质,课程类别
1,2019-2020-2,2015020,智能拼音速录初级,,87,,2,32,,,考试,正常考试,公选,公共选修课,工程技术
2,2019-2020-2,2019204,人工智能技术及应用,,80,,2,32,,,考试,正常考试,公选,公共选修课,工程技术
3,2019-2020-2,B0410072,基础外语AII,,78,,4,64,,,考试,正常考试,必修,人文社科课,
4,2019-2020-2,B0430012,体育II,男篮,89,,2,32,,,考试,正常考试,必修,人文社科课,
5,2019-2020-2,B0510011,大学物理I,,92,,3,48,,,考试,正常考试,必修,数学自然课,
6,2019-2020-2,B0510062,高等数学AII,,84,,6,96,,,考试,正常考试,必修,数学自然课,
7,2019-2020-2,B052005,大学生心理健康,,70,,1,16,,,考试,正常考试,必修,人文社科课,
8,2019-2020-2,B052011,中国近现代史纲要,,83,,2,32,,,考试,正常考试,必修,人文社科课,
9,2019-2020-2,B053098,程序设计基础II,,93,,3.5,56,,,考试,正常考试,必修,学科基础课,
10,2019-2020-2,B053118,电路与电子技术B,,84,,3.5,56,,,考试,正常考试,必修,学科基础课,
11,2019-2020-2,B053125,离散数学,,79,,2.5,40,,,考试,正常考试,必修,学科基础课,
12,2019-2020-2,S052001,思想政治理论课实践,,合格,,2,32,,,答辩,正常考试,必修,实践教学课,
13,2019-2020-2,S053042,程序设计实践,,85,,2,32,,,考试,正常考试,必修,实践教学课,
