序号,开课学期,课程编号,课程名称,分组名,成绩,成绩标识,学分,总学时,绩点,补重学期,考核方式,考试性质,课程属性,课程性质,课程类别
1,2020-2021-1,2009209,篮球提高班,,62,,2,32,,,考试,正常考试,公选,公共选修课,人文科学
2,2020-2021-1,2020001,劳动实践课,,78,,2,32,,,考试,正常考试,必修,实践教学课,人文科学
3,2020-2021-1,B0410073,基础外语AIII,,73,,4,64,,,考试,正常考试,必修,人文社科课,
4,2020-2021-1,B0430013,体育III,跆拳道,77,,2,32,,,考试,正常考试,必修,人文社科课,
5,2020-2021-1,B0510012,大学物理II,,81,,2,32,,,考试,正常考试,必修,数学自然课,
6,2020-2021-1,B051017,线性代数,,75,,3,48,,,考试,正常考试,必修,数学自然课,
7,2020-2021-1,B0510241,大学物理实验I,,71,,1.5,24,,,考试,正常考试,必修,数学自然课,
8,2020-2021-1,B0520101,毛泽东思想和中国特色社会主义理论体系概论I,,79,,2,32,,,考试,正常考试,必修,人文社科课,
9,2020-2021-1,B053059,数字电路与数字逻辑,,92,,3,48,,,考试,正常考试,必修,学科基础课,
10,2020-2021-1,B053114,Java面向对象程序设计,,84,,3,48,,,考试,正常考试,必修,专业必修课,
11,2020-2021-1,B053119,电路与电子技术B实验,,82,,1,16,,,考试,正常考试,必修,学科基础课,
12,2020-2021-1,B053126,数据结构,,70,,3,48,,,考试,正常考试,必修,学科基础课,
13,2020-2021-1,C024001,大学生创新创业基础,,82,,0.5,8,,,考试,正常考试,必修,创新创业课,
14,2020-2021-1,S053022,电类工程素质训练,,95,,1,16,,,考试,正常考试,必修,实践教学课,
15,2020-2021-1,S053046,面向对象课程设计,,98,,2,32,,,考试,正常考试,必修,实践教学课,
