jobName,position,company_name,company_size,company_type,salary
BI商业数据分析课程NC/培训招生,南昌-青山湖,51Testing,100-299人,民营,6千-8千· 13薪
数据分析师,徐州-鼓楼区,徐州存顺汽车销售有限公司,100-299人,,6千-1.2万
大数据分析师助理,天津-宁河,北京先烽科技有限公司,20-99人,民营,8千-1.2万
大数据分析师助理,石家庄-裕华,北京卓崛科技有限公司,20人以下,,8千-1.2万
大数据分析师助理,马鞍山-花山区,北京创慧卓达科技有限公司,20-99人,民营,9千-1.5万
销售运营,南昌-红谷滩,正泰安能数字能源(浙江)股份有限公司,1000-9999人,民营,6千-8千· 14薪
数据分析师助理,临沂-兰山,南京巨英数据科技有限公司,100-299人,民营,3千-5千
数据分析助理,北京,软通动力信息技术(集团)股份有限公司,10000人以上,民营,200-300/天
财务测算及数据分析顾问助理,天津-河西,通用咨询（天津）有限公司/General Consulting International,20-99人,外商独资,4千-5千
数据分析助理,济南-市中,山东省能惠售电有限公司,,,5千-8千
数据分析助理,常州-天宁,江苏智恒达投资集团有限公司,100-299人,民营,4千-6千
大数据分析师助理,合肥-蜀山,北京创慧卓达科技有限公司,20-99人,民营,9千-1.5万
大数据分析师助理,唐山-路北区,北京金照商贸有限公司,20-99人,民营,8千-1.2万
销售助理,石家庄-桥西,四川光良酒业有限公司,100-299人,民营,3千-5千
大数据分析师助理,淮北-相山区,北京创慧卓达科技有限公司,20-99人,民营,9千-1.5万
数据分析助理,潍坊-奎文,河南益诺博思网络科技有限公司,100-299人,民营,4千-6千· 13薪
数据分析师,台州-椒江区,浙江普道科技信息服务有限公司,100-299人,股份制企业,1.2万-1.5万
数据分析助理,青岛-市北,青岛鸿盛来网络科技有限公司,20-99人,,6千-1.2万
数据分析助理,北京-朝阳,北京新兴宏基房地产土地评估有限公司,20-99人,民营,5千-8千
商品专员/助理,石家庄-桥西,河北伦动贸易有限公司,100-299人,民营,4千-6千
【2023春招】数据分析助理（集团总部）(J15296),杭州,绿城服务集团,10000人以上,民营,7千-8千
采购助理,芜湖,昆山佰亚高分子科技有限公司芜湖分公司,20-99人,其它,4千-6千
物控助理（偏数据分析和供应链管理）,天津-东丽,天津裕瑶科技有限公司,20-99人,民营,5千-8千
数据分析助理,南京,南京答案智能科技中心(有限合伙),20-99人,民营,7千-1.3万· 13薪
数据分析助理+提供住宿,青岛-李沧,青岛蓝鼎网络科技有限公司,100-299人,民营,5千-8千
数据分析助理、六险一金+提成,杭州-萧山,绍兴拓风信息科技有限公司,100-299人,民营,1.3万-1.4万
数据分析助理,杭州-上城,杭州英拉芙教育科技有限公司,500-999人,合资,9千-1.3万· 13薪
大数据分析师助理,天津-静海,北京先烽科技有限公司,20-99人,民营,8千-1.2万
数据分析助理,青岛-市北,青岛文宿网络科技有限公司,20人以下,民营,5千-7千
数据分析助理,杭州-上城,浙江大光明眼镜有限公司,100-299人,民营,5千-8千
数据分析助理,苏州-吴中,嘉宇网络技术(深圳)有限公司,100-299人,其它,8千-1.3万
数据分析助理实习生（英语能力）,北京-朝阳,南京欧思其软件服务有限公司北京分公司,300-499人,民营,200-220/天
服装生产管理助理,天津-和平,天津东方凯泰服装贸易有限公司,20-99人,合资,4千-6千
数据分析助理（双休，地铁口）,杭州,杭州易职鸿网络科技有限公司,100-299人,,8千-1.6万
数据分析助理工程师,青岛-市南,青岛美淘日记网络信息技术有限公司,100-299人,民营,8千-1.1万· 13薪
市场销售助理（数据分析）,青岛-崂山,欧西爱司物流(上海)有限公司,1000-9999人,外商独资,5千-6千· 13薪
数据助理,天津-滨海新区,天津挺汇国际贸易有限公司,100-299人,民营,6千-9千
