job_name,position,diploma,company_name,company_size,company_type,salary
人事助理,上海,学历不限,中国人寿保险股份有限公司上海市分公司黄浦北京西路营销服务部,10000人以上,国企,8千-1.3万
新媒体运营助理,上海,学历不限,上海承倍智能设备科技有限公司,20-99人,民营,6千-1万
日语间接采购专员,上海,本科,深圳中鹰企业管理有限公司,100-299人,民营,6千-9千
运营助理,上海,本科,上海能良电子科技有限公司,500-999人,上市公司,8千-1万
消费者研究助理,上海,本科,欣和企业,1000-9999人,外商独资,7千-1.1万
跨境电商运营,上海,大专,依同商贸,20人以下,民营,7千-1万
保密管理,上海,本科,中国科学院上海技术物理研究所,500-999人,事业单位,1万-1.5万
运营助理/可小白,上海,中专/中技,浙江邦芒数据有限公司,1000-9999人,民营,5千-6千
市场&品牌专员,上海,本科,聚信租赁,100-299人,合资,1万-1.2万
行政助理,上海,大专,英格尔检测技术服务(上海)有限公司,1000-9999人,民营,7千-8千
软件测试助理（五险一金+不加班+周末双休 ）,上海,大专,南昌雷沫科技有限公司,20-99人,民营,8千-1.3万
特斯拉2023校招-总装工艺数据分析助理工程师,上海,学历不限,临港管委会,,国家机关,面议
运营助理,上海,本科,上海能良电子科技有限公司,500-999人,上市公司,8千-1.2万
人事岗,上海,硕士,上证所信息网络有限公司,100-299人,国企,1.6万-3万
人事助理/人事专员,上海,大专,汉恒生物科技(上海)有限公司,100-299人,民营,7千-1.4万
商品采购管培生（2023届秋招）,上海,本科,大润发,10000人以上,合资,4千-6千
运营部助理,上海,大专,芜湖量子音乐文化传播有限公司,20-99人,民营,5千-7千
招聘7K无责底薪+年轻氛围团队,上海,大专,上海远行嘉业房地产经纪有限公司,100-299人,民营,7千-1.4万
采购助理,上海,本科,任仕达企业管理(上海)有限公司深圳分公司,100-299人,外商独资,6千-7千
销售助理,上海,大专,上海赛邮云计算有限公司,20-99人,民营,6千-8千
外贸业务员/外贸专员/外贸销售,上海,大专,上海垣凡新材料科技有限公司,20-99人,民营,8千-1.6万
电商商品专员/实习生,上海,学历不限,上海汇材电子商务有限公司,1000-9999人,民营,6千-8千
火锅品类企划助理,上海,本科,颐海(北京)商贸有限责任公司,1000-9999人,上市公司,8千-1.3万
电商运营助理,上海,大专,上海怡盟科技有限公司,20-99人,民营,6千-8千
营业担当,上海,大专,上海奈金商务咨询有限公司,100-299人,民营,6千-1万
