图片名称,图片链接
烟花在空中炸开声音,https://downsc.chinaz.net/Files/DownLoad/sound1/202203/y687.mp3
向水壶倒水的声音,https://downsc.chinaz.net/Files/DownLoad/sound1/202203/y686.mp3
恐怖灯光虚拟音效,https:https://vod.ruotongmusic.com/sv/2c78badf-179cd1d1f32/2c78badf-179cd1d1f32.wav
文件下载完成提示音,https:https://vod.ruotongmusic.com/sv/2f9dd4aa-179cd1cdbfc/2f9dd4aa-179cd1cdbfc.wav
敲击铁片的声音,https:https://vod.ruotongmusic.com/sv/51bd0c17-179cd1cbb21/51bd0c17-179cd1cbb21.wav
开关弹起的音效,https:https://vod.ruotongmusic.com/sv/54770bb6-179cd1ca0af/54770bb6-179cd1ca0af.wav
架子鼓吊镲敲击声,https:https://vod.ruotongmusic.com/sv/4da90a8c-179cd1c96e8/4da90a8c-179cd1c96e8.wav
冰箱关门时碰撞声,https:https://vod.ruotongmusic.com/sv/5cb8e09a-179cd1c7e43/5cb8e09a-179cd1c7e43.wav
气球爆破的声音,https:https://vod.ruotongmusic.com/sv/27839367-179cd1c7437/27839367-179cd1c7437.wav
开关门的声音MP3,https:https://vod.ruotongmusic.com/sv/5a63c1df-179cd1c6e38/5a63c1df-179cd1c6e38.wav
硬地面奔跑的声音,https://downsc.chinaz.net/Files/DownLoad/sound1/202203/y689.mp3
阴森恐怖的音效,https://downsc.chinaz.net/Files/DownLoad/sound1/202203/y688.mp3
动画片滑稽背景音乐,https://downsc.chinaz.net/Files/DownLoad/sound1/202203/15433.mp3
点击打印机按键声音效,https://downsc.chinaz.net/Files/DownLoad/sound1/202203/15432.mp3
玻璃杯砸地上的声音,https:https://vod.ruotongmusic.com/sv/4471bfc7-179cd1c4b8f/4471bfc7-179cd1c4b8f.wav
玻璃窗破碎的声音,https:https://vod.ruotongmusic.com/sv/157556c0-179cd1c42c4/157556c0-179cd1c42c4.wav
导弹发射升空的声音,https:https://vod.ruotongmusic.com/sv/5cebd8a8-179cd1aef6f/5cebd8a8-179cd1aef6f.wav
火焰燃烧的声音,https:https://vod.ruotongmusic.com/sv/58899f11-179cd1afa1a/58899f11-179cd1afa1a.wav
灯光上升的虚拟声音,https:https://vod.ruotongmusic.com/sv/4b86df45-179cd1aff60/4b86df45-179cd1aff60.wav
人群掌声音效,https:https://vod.ruotongmusic.com/sv/860a357-179cd1b1c26/860a357-179cd1b1c26.wav
